# colvars, pathstate, free energy, deltaF 
-1.5489797111450694 -1.5489797111450694 4170 0.6862357056969963 0.02321158891248963 
-1.505346479845208 -1.5489797111450694 4171 0.8850694342054709 -0.19883372850847456 
-1.461713248545347 -1.5489797111450694 4172 1.054699441226522 -0.1696300070210512 
-1.418080017245486 -1.5489797111450694 4173 1.210152982789428 -0.15545354156290586 
-1.3744467859456249 -1.5489797111450694 4174 1.4696912779119995 -0.2595382951225715 
-1.3308135546457638 -1.5489797111450694 4175 1.844193528573873 -0.3745022506618736 
-1.2871803233459027 -1.5489797111450694 4176 2.394954514312513 -0.5507609857386397 
-1.2435470920460416 -1.5489797111450694 4177 3.050683393925091 -0.6557288796125783 
-1.1999138607461803 -1.5489797111450694 4178 3.722566270547726 -0.6718828766226348 
-1.1562806294463193 -1.5489797111450694 4179 4.533799745466338 -0.8112334749186114 
-1.1126473981464582 -1.5489797111450694 4180 5.3210176254641075 -0.7872178799977699 
-1.0690141668465971 -1.5489797111450694 4181 5.880904372080515 -0.5598867466164076 
-1.025380935546736 -1.5489797111450694 4182 6.5748301448890265 -0.6939257728085115 
-0.981747704246875 -1.5489797111450694 4183 7.52485995326671 -0.9500298083776838 
-0.9381144729470139 -1.5489797111450694 4184 8.46900373243592 -0.9441437791692097 
-0.8944812416471527 -1.5489797111450694 4185 9.32298141751719 -0.8539776850812683 
-0.8508480103472916 -1.5489797111450694 4186 10.260269940574839 -0.9372885230576486 
-0.8072147790474304 -1.5489797111450694 4187 11.394351149176122 -1.1340812086012846 
-0.7635815477475695 -1.5489797111450694 4188 12.506450858076827 -1.112099708900704 
-0.7199483164477083 -1.5489797111450694 4189 13.421430177507192 -0.9149793194303659 
-0.6763150851478472 -1.5489797111450694 4190 14.394981085950928 -0.9735509084437348 
-0.6326818538479861 -1.5489797111450694 4191 15.359876916595404 -0.9648958306444759 
-0.589048622548125 -1.5489797111450694 4192 16.147960574571027 -0.7880836579756234 
-0.5454153912482639 -1.5489797111450694 4193 16.937549663133186 -0.7895890885621605 
-0.5017821599484028 -1.5489797111450694 4194 17.744267596634867 -0.806717933501682 
-0.45814892864854173 -1.5489797111450694 4195 18.585327647500883 -0.8410600508660147 
-0.4145156973486806 -1.5489797111450694 4196 19.49726642132889 -0.9119387738280084 
-0.37088246604881947 -1.5489797111450694 4197 20.30509595283975 -0.8078295315108597 
-0.32724923474895834 -1.5489797111450694 4198 20.897609895754428 -0.5925139429146797 
-0.2836160034490972 -1.5489797111450694 4199 21.4216965985245 -0.5240867027700697 
-0.2836160034490972 -1.5926129424449305 4056 21.970395774695145 -0.5486991761706475 
-0.23998277214923608 -1.5926129424449305 4057 22.31651949650812 -0.3461237218129773 
-0.19634954084937498 -1.5926129424449305 4058 22.730296141048537 -0.4137766445404169 
-0.15271630954951387 -1.5926129424449305 4059 23.156873028838547 -0.42657688779000985 
-0.10908307824965278 -1.5926129424449305 4060 23.597067496683394 -0.4401944678448477 
-0.06544984694979167 -1.5926129424449305 4061 24.036512215004667 -0.43944471832127113 
-0.021816615649930555 -1.5926129424449305 4062 24.386545214347894 -0.35003299934322785 
0.021816615649930555 -1.5926129424449305 4063 24.605835204663762 -0.21928999031587001 
0.021816615649930555 -1.6362461737447915 3919 24.702394654591632 -0.09655944992786916 
0.06544984694979167 -1.6362461737447915 3920 24.695699464719045 0.006695189872586914 
0.10908307824965276 -1.6362461737447915 3921 24.725691917680308 -0.029992452961262333 
0.1527163095495139 -1.6362461737447915 3922 24.76800567116063 -0.042313753480321625 
0.196349540849375 -1.6362461737447915 3923 24.83631547709613 -0.06830980593549921 
0.23998277214923608 -1.6362461737447915 3924 24.9426713683592 -0.10635589126307232 
0.2836160034490972 -1.6362461737447915 3925 24.856153151292038 0.08651821706716072 
0.3272492347489583 -1.6362461737447915 3926 24.55427070486907 0.3018824464229692 
0.3708824660488194 -1.6362461737447915 3927 24.269923336012628 0.2843473688564393 
0.4145156973486806 -1.6362461737447915 3928 24.00008349024722 0.2698398457654084 
0.4581489286485416 -1.6362461737447915 3929 23.66950103794339 0.3305824523038283 
0.5017821599484028 -1.6362461737447915 3930 23.336967256493914 0.33253378144947787 
0.5454153912482639 -1.6362461737447915 3931 23.097091674588214 0.23987558190570013 
0.5454153912482639 -1.6798794050446528 3788 22.850442361085136 0.2466493135030775 
0.5454153912482639 -1.7235126363445137 3646 22.661223864666727 0.18921849641840782 
0.5454153912482639 -1.7671458676443748 3508 22.381368205085348 0.2798556595813785 
0.589048622548125 -1.7671458676443748 3509 22.043729072885462 0.3376391321998844 
0.632681853847986 -1.7671458676443748 3510 21.644097248343193 0.39963182454226975 
0.6763150851478472 -1.7671458676443748 3511 21.06175839730177 0.5823388510414226 
0.7199483164477083 -1.7671458676443748 3512 20.24082681497132 0.820931582330447 
0.7635815477475694 -1.7671458676443748 3513 19.499392314619 0.7414345003523184 
0.8072147790474304 -1.7671458676443748 3514 19.027201210609704 0.4721911040092973 
0.8508480103472916 -1.7671458676443748 3515 18.636956644463563 0.3902445661461412 
0.8944812416471527 -1.7671458676443748 3516 18.18114536653675 0.455811277926813 
0.9381144729470139 -1.7671458676443748 3517 17.723109149297805 0.45803621723894666 
0.981747704246875 -1.7671458676443748 3518 17.347396554107753 0.37571259519005357 
1.0253809355467363 -1.7671458676443748 3519 17.154723155755725 0.1926733983520273 
1.0253809355467363 -1.810779098944236 3386 17.090548803963436 0.0641743517922908 
1.0253809355467363 -1.8544123302440974 3256 17.01340070330492 0.07714810065851681 
1.0253809355467363 -1.8980455615439582 3122 16.864268560059763 0.14913214324515725 
1.0690141668465973 -1.8980455615439582 3123 16.671938660634012 0.19232989942575135 
1.0690141668465973 -1.9416787928438193 2992 16.58101905601428 0.09091960461973071 
1.0690141668465973 -1.9853120241436806 2867 16.547829648116906 0.03318940789737364 
1.1126473981464584 -1.9853120241436806 2868 16.535648978337434 0.012180669779471158 
1.1126473981464584 -2.0289452554435417 2741 16.448155414468516 0.08749356386891867 
1.1126473981464584 -2.072578486743403 2618 16.372001789566873 0.07615362490164243 
