# numeff, colvar, npoints 
113 3.405000000000001 8278 
114 3.4350000000000005 8054 
115 3.4650000000000016 8084 
116 3.495000000000001 8110 
117 3.5250000000000004 8141 
118 3.5550000000000015 8176 
119 3.585000000000001 8193 
120 3.615 8160 
121 3.6450000000000014 8117 
122 3.6750000000000007 8391 
123 3.705000000000002 8261 
124 3.735000000000001 8357 
125 3.7650000000000006 8458 
126 3.7950000000000017 8423 
127 3.825000000000001 8716 
128 3.8550000000000004 8575 
129 3.8850000000000016 8702 
130 3.915000000000001 8836 
131 3.9450000000000003 8974 
132 3.9750000000000014 8931 
133 4.005000000000001 9300 
134 4.035 9258 
135 4.065000000000001 9211 
136 4.095000000000001 9472 
137 4.125000000000002 9432 
138 4.155000000000001 9503 
139 4.1850000000000005 9436 
140 4.215000000000002 9529 
141 4.245000000000001 9336 
142 4.275 9431 
143 4.3050000000000015 9290 
144 4.335000000000001 9282 
145 4.365 9080 
146 4.395000000000001 9278 
147 4.425000000000001 9147 
148 4.455000000000002 9196 
149 4.485000000000001 9207 
150 4.515000000000001 9086 
151 4.545000000000002 9180 
152 4.575000000000001 9146 
153 4.605 9417 
154 4.635000000000002 9453 
155 4.665000000000001 9277 
156 4.695 9494 
157 4.725000000000001 9573 
158 4.755000000000001 9547 
159 4.785 9592 
160 4.815000000000001 9548 
161 4.845000000000001 9557 
162 4.875000000000002 9612 
163 4.905000000000001 9548 
164 4.9350000000000005 9405 
165 4.965000000000002 9448 
166 4.995000000000001 9332 
167 5.025 9575 
168 5.0550000000000015 9438 
169 5.085000000000001 9453 
170 5.115 9306 
171 5.145000000000001 9603 
172 5.175000000000001 9338 
173 5.205 9380 
174 5.235000000000001 9344 
175 5.265000000000001 9513 
176 5.295000000000002 9449 
177 5.325000000000001 9582 
178 5.355 9673 
179 5.385000000000002 9490 
180 5.415000000000001 9716 
181 5.445 10001 
182 5.475000000000001 9805 
183 5.505000000000001 9681 
184 5.535 9605 
185 5.565000000000001 9749 
186 5.595000000000001 9335 
187 5.625000000000002 9567 
188 5.655000000000001 9303 
189 5.6850000000000005 9269 
190 5.715000000000002 9185 
191 5.745000000000001 9027 
192 5.775 9127 
193 5.8050000000000015 9112 
194 5.835000000000001 9049 
195 5.865 8974 
196 5.895000000000001 8808 
