# numeff, colvar, npoints 
78 1.3737499999999998 3395 
79 1.3912499999999999 3525 
80 1.40875 3445 
81 1.42625 3445 
82 1.4437499999999996 3476 
83 1.4612499999999997 3579 
84 1.4787499999999998 3498 
85 1.4962499999999999 3369 
86 1.51375 3504 
87 1.5312499999999998 3463 
88 1.5487499999999998 3602 
89 1.56625 3681 
90 1.5837499999999998 3800 
91 1.6012499999999998 3759 
92 1.61875 3902 
93 1.6362499999999998 3851 
94 1.6537499999999998 3913 
95 1.67125 4056 
96 1.6887499999999998 4044 
97 1.7062499999999998 4215 
98 1.72375 4263 
99 1.74125 4325 
100 1.7587499999999998 4430 
101 1.7762499999999999 4302 
102 1.79375 4431 
103 1.8112499999999998 4475 
104 1.8287499999999999 4647 
105 1.84625 4635 
106 1.8637499999999998 4797 
107 1.8812499999999999 4827 
108 1.89875 4720 
109 1.9162499999999998 4842 
110 1.9337499999999999 5217 
111 1.95125 5182 
112 1.96875 5550 
113 1.9862499999999998 6585 
114 2.00375 8084 
115 2.02125 5362 
116 2.03875 4948 
117 2.05625 4802 
118 2.07375 4683 
119 2.0912499999999996 4481 
120 2.1087499999999997 4508 
121 2.1262499999999998 4359 
122 2.14375 4237 
123 2.16125 4282 
124 2.17875 4129 
125 2.19625 4139 
126 2.21375 4059 
127 2.23125 3968 
128 2.24875 4083 
129 2.26625 4021 
130 2.28375 4060 
131 2.30125 3961 
132 2.3187499999999996 3796 
133 2.3362499999999997 3846 
134 2.35375 3878 
135 2.37125 3839 
136 2.38875 4006 
137 2.40625 3987 
138 2.42375 3911 
139 2.44125 3957 
140 2.45875 4156 
141 2.47625 3986 
142 2.49375 3991 
143 2.51125 4012 
144 2.52875 4138 
145 2.5462499999999997 4086 
146 2.5637499999999998 4069 
147 2.58125 4108 
148 2.59875 4008 
149 2.61625 4043 
150 2.63375 4069 
151 2.65125 4132 
152 2.66875 4075 
153 2.68625 4119 
154 2.70375 4131 
155 2.72125 4136 
156 2.73875 4218 
157 2.75625 4223 
158 2.7737499999999997 4237 
159 2.79125 4259 
160 2.80875 4335 
161 2.82625 4406 
162 2.84375 4399 
163 2.86125 4508 
164 2.87875 4569 
165 2.89625 4512 
166 2.91375 4627 
167 2.93125 4687 
168 2.94875 4880 
169 2.96625 5190 
170 2.98375 5347 
171 3.0012499999999998 4623 
172 3.01875 4470 
173 3.03625 4478 
174 3.05375 4359 
175 3.07125 4362 
176 3.08875 4238 
177 3.10625 4263 
178 3.12375 4263 
179 3.14125 4251 
180 3.15875 4268 
181 3.17625 4274 
182 3.19375 4298 
183 3.2112499999999997 4139 
184 3.22875 4166 
185 3.24625 4200 
186 3.26375 4076 
187 3.28125 4073 
188 3.29875 4099 
189 3.31625 4166 
190 3.33375 4064 
191 3.35125 4136 
192 3.36875 4024 
193 3.38625 4054 
194 3.40375 4109 
195 3.42125 3920 
196 3.43875 4064 
197 3.45625 3896 
198 3.47375 4029 
199 3.49125 3890 
200 3.50875 3833 
201 3.52625 3771 
202 3.54375 3849 
203 3.56125 3928 
204 3.57875 3942 
205 3.59625 3851 
206 3.61375 3854 
207 3.63125 3867 
208 3.64875 3902 
